iteration,killed_h_squish,killed_in_squish,killed_zombie,skipped_in,saved_h,saved_in,killed_z,killed_c,saved_z,saved_c
2,1,0,1,4,6,4,9,1,2,0
3,0,0,0,1,10,6,10,2,0,0
4,0,0,13,0,1,0,6,3,2,0
5,0,1,3,4,7,2,5,4,1,0
