iteration,killed_h_squish,killed_in_squish,killed_zombie,skipped_in,saved_h,saved_in,killed_z,killed_c,saved_z,saved_c
0,0,0,3,0,3,6,4,0,2,1
1,0,0,0,0,8,1,0,0,1,1
