iteration,killed_h_squish,killed_in_squish,killed_zombie,skipped_in,saved_h,saved_in,killed_z,killed_c,saved_z,saved_c
0,0,0,0,2,8,4,5,2,0,0
1,0,0,0,4,9,3,10,2,0,0
2,0,0,0,2,7,5,6,3,1,0
3,0,0,2,3,8,1,9,4,1,0
