iteration,killed_h_squish,killed_in_squish,killed_zombie,skipped_in,saved_h,saved_in,killed_z,killed_c,saved_z,saved_c
0,0,0,0,2,10,3,5,2,0,0
1,0,0,3,4,8,1,17,2,2,0
2,0,0,1,9,8,1,3,3,3,0
