iteration,killed_h_squish,killed_in_squish,killed_zombie,skipped_in,saved_h,saved_in,killed_z,killed_c,saved_z,saved_c
0,1,6,0,0,12,1,14,1,0,0
1,0,0,0,1,8,4,8,4,0,0
2,0,3,0,0,7,4,8,5,1,0
3,0,7,9,0,7,2,15,6,1,0
4,0,0,8,0,2,1,13,8,2,0
